Timestamp	power	temperature	voltage	
173.00	12.00	21.14	3.59
174.00	12.00	20.76	3.58
175.00	12.00	23.40	3.58
176.00	12.00	20.38	3.57
177.00	12.00	20.07	3.58
178.00	12.00	18.63	3.55
179.00	12.00	20.52	3.57
180.00	12.00	20.35	3.57
181.00	12.00	21.07	3.56
182.00	12.00	20.18	3.57
183.00	12.00	19.57	3.58
184.00	12.00	19.57	3.55
185.00	12.00	19.20	3.58
186.00	12.00	18.89	3.57
187.00	12.00	20.99	3.56
188.00	12.00	19.39	3.58
189.00	12.00	20.38	3.56
190.00	12.00	18.15	3.56
191.00	12.00	21.40	3.57
192.00	12.00	20.03	3.56
193.00	12.00	18.60	3.57
194.00	12.00	20.16	3.55
195.00	12.00	21.27	3.58
196.00	12.00	21.89	3.57
197.00	12.00	19.62	3.56
198.00	12.00	19.98	3.58
199.00	12.00	20.57	3.58
200.00	12.00	20.69	3.57
201.00	12.00	19.74	3.56
202.00	12.00	19.70	3.58
203.00	12.00	20.06	3.55
204.00	12.00	19.72	3.56
205.00	12.00	19.80	3.56
206.00	12.00	19.91	3.56
207.00	12.00	18.53	3.55
208.00	12.00	20.23	3.55
209.00	12.00	19.69	3.56
210.00	12.00	20.06	3.55
211.00	12.00	21.26	3.55
212.00	12.00	19.98	3.54
213.00	12.00	19.64	3.55
214.00	12.00	19.95	3.56
215.00	12.00	19.89	3.57
216.00	12.00	21.70	3.54
217.00	12.00	20.18	3.56
218.00	12.00	18.17	3.55
219.00	12.00	20.09	3.57
220.00	12.00	19.56	3.55
221.00	12.00	20.55	3.56
222.00	12.00	18.93	3.56
223.00	12.00	19.18	3.55
224.00	12.00	21.48	3.56
225.00	12.00	19.54	3.55
226.00	12.00	18.68	3.56
227.00	12.00	21.40	3.57
228.00	12.00	20.79	3.56
229.00	12.00	19.61	3.53
230.00	12.00	18.98	3.55
231.00	12.00	20.08	3.55
232.00	12.00	19.77	3.55
233.00	12.00	20.32	3.57
234.00	12.00	19.08	3.53
235.00	12.00	18.85	3.56
236.00	12.00	21.40	3.54
237.00	12.00	20.75	3.56
238.00	12.00	20.75	3.54
239.00	12.00	20.26	3.55
240.00	12.00	20.48	3.56
241.00	12.00	20.41	3.55
242.00	12.00	20.95	3.55
243.00	12.00	17.68	3.54
244.00	12.00	20.18	3.55
245.00	12.00	20.40	3.54
246.00	12.00	19.19	3.55
247.00	12.00	18.70	3.53
248.00	12.00	20.40	3.55
249.00	12.00	19.50	3.54
250.00	12.00	19.86	3.55
251.00	12.00	20.95	3.53
252.00	12.00	18.28	3.55
253.00	12.00	19.64	3.54
254.00	12.00	19.99	3.55
255.00	12.00	17.61	3.54
256.00	12.00	21.21	3.55
257.00	12.00	21.95	3.56
258.00	12.00	18.46	3.53
259.00	12.00	19.94	3.54
260.00	12.00	19.31	3.52
261.00	12.00	18.97	3.55
262.00	12.00	20.58	3.53
263.00	12.00	19.47	3.55
264.00	12.00	21.16	3.55
265.00	12.00	19.89	3.53
266.00	12.00	21.36	3.53
267.00	12.00	19.13	3.53
268.00	12.00	19.56	3.53
269.00	12.00	22.01	3.52
270.00	12.00	18.90	3.53
271.00	12.00	17.65	3.53
272.00	12.00	19.54	3.53
273.00	12.00	20.89	3.54
274.00	12.00	20.69	3.54
275.00	12.00	18.46	3.54
276.00	12.00	18.81	3.54
277.00	12.00	23.32	3.55
278.00	12.00	19.66	3.53
279.00	12.00	19.96	3.54
280.00	12.00	19.95	3.56
281.00	12.00	17.73	3.53
282.00	12.00	18.77	3.51
283.00	12.00	18.85	3.53
284.00	12.00	19.88	3.54
285.00	12.00	20.94	3.53
286.00	12.00	21.17	3.54
287.00	12.00	20.18	3.54
288.00	12.00	19.67	3.53
289.00	12.00	19.81	3.54
290.00	12.00	18.91	3.54
291.00	12.00	19.61	3.54
292.00	12.00	20.56	3.54
293.00	12.00	20.22	3.54
294.00	12.00	18.45	3.52
295.00	12.00	20.40	3.52
296.00	12.00	19.54	3.52
297.00	12.00	19.17	3.51
298.00	12.00	19.48	3.53
299.00	12.00	20.08	3.53
300.00	12.00	18.63	3.51
301.00	12.00	18.40	3.54
302.00	12.00	18.63	3.52
303.00	12.00	20.29	3.52
304.00	12.00	21.68	3.52
305.00	12.00	20.38	3.52
306.00	12.00	21.51	3.51
307.00	12.00	20.17	3.53
308.00	12.00	21.30	3.52
309.00	12.00	18.79	3.52
310.00	12.00	19.78	3.53
311.00	12.00	20.26	3.52
312.00	12.00	19.42	3.52
313.00	12.00	20.65	3.52
314.00	12.00	21.37	3.52
315.00	12.00	21.38	3.51
316.00	12.00	21.26	3.53
